Date,Subject,RootDirectory,Directory,Tag,StimulusSuite,Weight,Chamber,Rig,Electrode,Lens,oe2dat,StimulusProtocols,SpikeSorting,LfpPhaseCorrection,numChannels,numUnits,ElectrodeManufacturer,ImportFun,Eyetracker,numSingleUnit,GratingSubspace,shank,retx,rety,retc1,retc2,retc4,deadChan
07-Jan-0019,Ellie,PLDAPS/Ellie,Ellie_2019-01-07_11-36-31_ShankC,ellie_20190107,PLDAPS,NaN,"V1",Propixx,,1,1,"ITI,csdFlash,hartleyFF,natImgBackground,squareFlash,HDmovies",Kilo,1,32,19,Atlas,importFreeViewingPLDAPS,Eyelink1000,8,1,4,11.6912627280054,-0.480632701040082,1.3527210038419,-0.0661756578106366,1.2760247561589,None
11-Jan-0019,Ellie,PLDAPS/Ellie,Ellie_2019-01-11_11-52-09_ShankC,ellie_20190111,PLDAPS,NaN,"V1",Propixx,,1,1,"ITI,csdFlash,natImgBackground,squareFlash,hartleyFF,HDmovies",Kilo,1,32,12,Atlas,importFreeViewingPLDAPS,Eyelink1000,1,1,4,11.6912627280054,-0.480632701040082,1.3527210038419,-0.0661756578106366,1.2760247561589,None
07-Jun-0019,Milo,PLDAPS/Ellie,Milo_2019-06-07_09-21-21_Atlas1,milo_20190607,PLDAPS,NaN,"V1",Propixx,,1,1,"ITI,csdFlash,faceForage,hartleyFF,natImgBackground,squareFlash",Kilo,0,32,13,Atlas,importFreeViewingPLDAPS,Eyelink1000,0,1,5,9.33664757084734,8.02060565619413,11.4542755476968,-0.813592638474577,8.06865436565771,None
21-Jun-0019,Milo,PLDAPS/Ellie,Milo_2019-06-21_12-26-10_Atlas,milo_20190621,PLDAPS,NaN,"V1",Propixx,,1,1,"ITI,csdFlash,faceForage,hartleyFF,natImgBackground,squareFlash",Kilo,1,32,10,Atlas,importFreeViewingPLDAPS,Eyelink1000,1,1,6,6.81413725420121,-1.03865098117686,1.14658540318116,-0.167169924836364,0.938217804889951,None
19-Nov-0019,Logan,ForageMapping,Logan_2019-11-19_10-52-51_Neuronexus_D2,logan_20191119,MarmoV5,NaN,"V1",Propixx,ShankAn1,1,1,"",Kilo2,1,64,2,NeuroNexus,importFreeViewing,DDPIv1,0,0,7,0.157470188416922,-0.844787024964461,0.320070888309591,-0.119442736862742,0.20389431242083,3   7  11  19  40  44
20-Nov-0019,Logan,ForageMapping,Logan_2019-11-20_10-54-11_NeuronexusD3,logan_20191120a,MarmoV5,NaN,"V1",Propixx,ShankAn1,1,1,"",Kilo2,1,64,6,NeuroNexus,importFreeViewing,DDPIv1,1,0,7,0.220758279407582,-0.692079386326898,0.129052473879363,-0.0123488931046994,0.1521507927467,3  11  44
21-Nov-0001,Logan,ForageMapping,Logan_2019-11-21_10-31-34_NeuronexusD4,logan_20191121,MarmoV5,NaN,"V1",Propixx,ShankAn1,1,1,"",Kilo2,1,64,1,NeuroNexus,importFreeViewing,DDPIv1,1,0,7,0.534204103402676,-0.29917650096462,0.0833609308812362,-0.0148209534685704,0.134290381449508,7  11  40  44  48
22-Nov-0019,Logan,ForageMapping,Logan_2019-11-22_11-30-43_NeuronexusD5,logan_20191122,MarmoV5,NaN,"V1",Propixx,ShankAn1,1,1,"",Kilo2,1,64,5,NeuroNexus,importFreeViewing,DDPIv1,3,0,7,0.311532680213818,-0.76858882703697,0.102254727115224,-0.021843797934361,0.155270487481665,3   7  11  15  40  44
02-Dec-0019,Logan,ForageMapping,Logan_2019-12-02_10-29-07_NeuronexusD6,logan_20191202,MarmoV5,NaN,"V1",Propixx,ShankAn1,1,1,"",Kilo2,1,64,3,NeuroNexus,importFreeViewing,DDPIv1,2,1,7,0.220758279407582,-0.692079386326898,0.129052473879363,-0.0123488931046994,0.1521507927467,3  11  52
03-Dec-0019,Logan,ForageMapping,Logan_2019-12-03_10-35-59_NeuronexusD7,logan_20191203,MarmoV5,NaN,"V1",Propixx,ShankAn1,1,1,"",Kilo2,1,64,4,NeuroNexus,importFreeViewing,DDPIv1,2,1,7,0.220758279407582,-0.692079386326898,0.129052473879363,-0.0123488931046994,0.1521507927467,11  44  48
04-Dec-0019,Logan,ForageMapping,Logan_2019-12-04_10-32-29_NeuronexusD8,logan_20191204,MarmoV5,NaN,"V1",Propixx,ShankAn1,1,1,"",Kilo2,1,64,3,NeuroNexus,importFreeViewing,DDPIv1,1,1,7,0.220758279407582,-0.692079386326898,0.129052473879363,-0.0123488931046994,0.1521507927467,3   7  11  15  19  40  44
